,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SMT,56,680,1912,3050,4180,5524,4950,4730,3319,1697,820,611,222,92,6,0,0,0,0,0,0,0,0
SNc,60,176,423,593,690,394,121,78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNr,96,423,512,557,447,183,91,26,9,21,9,3,0,0,0,0,0,0,0,0,0,0,0
SOC,3,50,21,16,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPIV,13,15,10,30,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPVC,16,59,222,183,230,115,56,16,6,44,0,6,0,0,0,0,0,0,0,0,0,0,0
SPVI,67,106,143,49,76,12,18,0,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SPVO,16,55,115,63,115,37,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSp-bfd,3430,12180,22969,30665,33222,28551,22109,15300,10229,5337,3090,1524,822,274,123,81,30,33,12,23,3,2,0
SSp-ll,580,2034,3568,5269,6482,6570,4536,3053,2004,1007,698,374,178,139,59,18,58,20,5,0,9,0,0
SSp-m,2831,10148,21376,29621,32732,30682,23482,17115,11024,6645,3431,2095,1244,529,330,116,72,38,19,0,1,0,0
SSp-n,1512,5809,10438,15587,15249,13899,11025,8098,5396,2617,1424,722,455,119,24,33,9,0,0,0,0,0,0
SSp-tr,280,1286,2282,3236,3067,2709,1914,1544,792,300,205,64,60,30,24,8,0,0,0,0,0,0,0
SSp-ul,1591,5266,11116,13368,15682,16910,13259,8734,5946,3480,2370,954,491,277,90,53,68,2,11,0,17,0,0
SSp-un,483,1651,3782,5228,5958,5305,4139,2694,1760,868,432,392,124,44,23,51,8,0,4,0,0,0,0
SSs,4017,14245,27545,38130,41090,36194,28943,19178,11337,6560,3982,1795,805,488,165,134,64,9,19,4,0,2,0
SUB,4129,9362,15682,18653,15751,11368,6714,4022,1929,1197,357,236,27,1,0,0,0,0,0,0,0,0,0
TEa,1310,4212,7229,7213,6951,5345,3243,1589,797,254,192,65,46,18,7,0,0,0,0,0,0,0,0
TMv,654,1567,2904,3104,3156,2054,1003,373,188,131,37,32,0,0,0,0,0,0,0,0,0,0,0
TR,768,3013,4789,6356,6130,4943,2845,2019,876,530,301,52,32,6,0,0,0,0,0,0,0,0,0
TRN,543,1351,2009,2330,2019,1274,693,348,118,12,0,2,0,0,0,0,0,0,0,0,0,0,0
TRS,655,1928,2286,2070,3053,1851,844,234,226,20,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,1027,3972,7850,9249,8449,7042,4020,2811,1504,740,463,143,136,0,13,0,0,0,0,0,0,0,0
TU,637,1500,1945,2005,1617,907,432,134,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCO,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VII,16,77,29,16,37,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISC,1470,5270,8094,11020,12185,9977,7524,4175,2243,1116,381,181,79,21,7,0,0,0,0,0,0,0,0
VISa,374,1327,2697,3835,4741,3596,2522,1691,1025,515,434,219,51,38,8,2,9,0,0,0,0,0,0
VISal,163,594,1254,2371,2222,1992,941,905,300,110,198,33,50,25,14,0,0,8,2,0,0,0,0
VISam,220,976,2131,2445,3701,3525,2267,1692,1145,613,395,148,65,33,0,12,0,0,0,0,0,0,0
VISl,369,857,1257,2144,2438,2307,1909,926,621,223,85,64,20,5,19,10,3,0,0,0,0,0,0
VISli,114,558,732,891,860,746,523,275,178,31,36,0,2,0,0,0,0,0,0,0,0,0,0
VISp,2812,7409,14539,17811,20321,17432,13322,8718,4192,2294,1220,467,267,60,10,5,0,0,0,0,0,0,0
VISpl,473,1326,2656,3257,3040,2494,1668,1324,970,314,178,38,64,8,18,0,0,0,0,0,0,0,0
VISpm,310,1110,1886,2723,2706,2334,1727,918,651,272,165,71,30,29,30,0,0,0,0,0,0,0,0
VISpor,829,2880,4595,5190,5030,4601,2636,1576,1093,702,416,171,46,0,0,0,0,0,0,0,0,0,0
VISrl,354,1232,2363,3142,3721,3446,2537,1750,1418,503,474,148,66,8,12,27,0,4,0,0,0,0,0
VM,1266,4916,10949,18066,24360,25883,22083,17962,10437,5787,3018,1604,725,136,99,9,0,0,0,0,0,0,0
VPL,445,2387,3129,2718,3789,3710,2792,2853,1707,856,449,183,18,87,9,0,0,0,0,0,0,0,0
VPM,1638,5430,6753,7372,8506,7042,6135,4801,3161,1427,1007,286,189,50,49,8,4,0,0,0,0,0,0
VTA,312,1022,1668,1716,1239,1001,501,182,40,117,5,0,0,0,0,0,0,0,0,0,0,0,0
ZI,773,2324,4906,9538,9955,10205,7796,4704,3173,2058,827,321,121,120,1,0,0,0,0,0,0,0,0
