SEU-ALLEN_local_17542_12111_11720_6856_CCFv3.swc,1,46,23,12,94,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_20559_41911_6854_CCFv3.swc,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_20657_41907_6940_CCFv3.swc,2,26,58,164,83,83,59,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_20746_25604_5548_CCFv3.swc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21231_23421_5341_CCFv3.swc,1,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21280_22195_5623_CCFv3.swc,0,0,5,12,11,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21299_22909_5344_CCFv3.swc,0,8,2,78,115,8,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21371_23705_5445_CCFv3.swc,14,18,20,34,51,30,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21434_21948_5378_CCFv3.swc,0,0,30,183,11,41,133,107,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21453_17452_6018_CCFv3.swc,7,15,54,106,100,43,27,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21485_17701_5967_CCFv3.swc,1,9,32,48,77,37,68,101,41,24,4,17,0,0,0,0,0
SEU-ALLEN_local_17542_21523_23467_5487_CCFv3.swc,4,0,32,63,96,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21532_23037_5379_CCFv3.swc,1,31,21,80,38,81,3,5,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21540_24434_5921_CCFv3.swc,0,0,10,32,47,19,11,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21561_23767_5635_CCFv3.swc,7,7,19,3,59,20,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21635_24355_5940_CCFv3.swc,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21672_21784_5481_CCFv3.swc,7,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21704_22896_5426_CCFv3.swc,8,54,28,53,49,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21727_15329_5987_CCFv3.swc,0,39,65,75,135,243,116,219,117,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21746_22105_5867_CCFv3.swc,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21748_24102_5801_CCFv3.swc,0,16,17,41,24,7,12,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21788_15924_5906_CCFv3.swc,0,4,31,148,254,141,166,52,51,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21803_18517_5894_CCFv3.swc,3,16,85,78,57,10,5,18,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21811_23294_5982_CCFv3.swc,0,38,13,39,5,28,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21840_15996_5879_CCFv3.swc,0,1,69,97,135,328,287,122,0,0,0,13,28,0,0,0,0
SEU-ALLEN_local_17542_21841_16704_5774_CCFv3.swc,0,4,52,60,195,162,112,52,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21843_31706_5783_CCFv3.swc,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21883_23081_5504_CCFv3.swc,1,49,13,61,31,61,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21909_16382_5837_CCFv3.swc,13,1,47,46,84,17,7,38,31,27,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21922_15911_5914_CCFv3.swc,0,13,23,175,50,180,457,157,103,20,5,0,0,0,0,0,0
SEU-ALLEN_local_17542_21941_23375_5840_CCFv3.swc,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21960_16578_5800_CCFv3.swc,0,19,76,9,7,0,42,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_21978_22379_5604_CCFv3.swc,0,5,23,24,99,26,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22010_16196_5899_CCFv3.swc,0,2,83,92,176,176,118,26,37,39,5,0,19,57,24,7,0
SEU-ALLEN_local_17542_22010_22448_5962_CCFv3.swc,1,5,59,16,9,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22024_23724_5942_CCFv3.swc,0,0,12,24,5,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22101_40250_6893_CCFv3.swc,12,36,77,114,8,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22146_22868_5719_CCFv3.swc,0,22,8,50,52,0,0,0,0,0,0,0,0,0,0,0,0
