target_cell,1,2,3,4,5,6,7,8,9,10
SEU-ALLEN_local_17300_22468_15554_2837_CCFv3.swc,0,0,2,4,1,0,0,0,0,0
SEU-ALLEN_local_17300_22488_43570_3478_CCFv3.swc,2,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22502_14488_3326_CCFv3.swc,0,0,0,0,1,3,2,3,0,0
SEU-ALLEN_local_17300_22537_14984_2965_CCFv3.swc,0,2,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_22706_44376_3243_CCFv3.swc,0,0,0,0,0,0,1,0,0,0
SEU-ALLEN_local_17300_22814_44134_3958_CCFv3.swc,1,2,0,0,0,0,1,0,0,0
SEU-ALLEN_local_17300_22848_12962_3850_CCFv3.swc,0,0,0,1,3,1,2,3,0,0
SEU-ALLEN_local_17300_22997_15130_3003_CCFv3.swc,0,1,1,5,0,1,0,0,0,0
SEU-ALLEN_local_17300_23210_15090_2600_CCFv3.swc,0,1,2,4,12,6,7,0,0,0
SEU-ALLEN_local_17300_23448_14960_2653_CCFv3.swc,0,0,0,0,3,3,2,0,1,0
SEU-ALLEN_local_17300_23478_15452_3230_CCFv3.swc,0,0,1,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_23493_15224_2590_CCFv3.swc,0,2,5,3,3,4,7,4,4,0
SEU-ALLEN_local_17300_23563_15764_2791_CCFv3.swc,0,1,0,0,1,1,0,0,0,0
SEU-ALLEN_local_17300_23572_14258_3983_CCFv3.swc,0,0,1,3,3,3,0,0,0,0
SEU-ALLEN_local_17300_23597_15412_2976_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_17300_23726_15978_3044_CCFv3.swc,1,0,0,1,1,3,0,0,0,0
SEU-ALLEN_local_17300_23756_15660_2974_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_23783_15554_2907_CCFv3.swc,0,0,0,2,0,0,0,0,0,0
SEU-ALLEN_local_17300_23834_16600_2588_CCFv3.swc,1,0,3,2,6,1,0,0,0,0
SEU-ALLEN_local_17300_23936_14192_3967_CCFv3.swc,0,0,10,20,8,3,0,0,0,0
SEU-ALLEN_local_17300_23950_15640_2966_CCFv3.swc,0,0,0,0,0,0,1,0,0,0
SEU-ALLEN_local_17300_23998_15756_2622_CCFv3.swc,0,1,2,1,5,1,1,2,2,0
SEU-ALLEN_local_17300_24016_16243_2806_CCFv3.swc,0,0,0,2,0,2,0,0,0,0
SEU-ALLEN_local_17300_24024_41701_3080_CCFv3.swc,0,1,3,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24031_16024_3045_CCFv3.swc,0,1,0,1,2,0,0,0,0,0
SEU-ALLEN_local_17300_24042_16212_2895_CCFv3.swc,0,0,0,1,1,0,1,0,0,1
SEU-ALLEN_local_17300_24100_16176_2844_CCFv3.swc,0,0,1,2,2,0,1,0,0,0
SEU-ALLEN_local_17300_24142_14528_5507_CCFv3.swc,0,0,1,1,3,0,0,0,0,0
SEU-ALLEN_local_17300_24147_14302_3207_CCFv3.swc,0,0,3,0,3,2,2,2,0,0
SEU-ALLEN_local_17300_24175_16514_2796_CCFv3.swc,0,0,0,0,1,0,3,0,0,0
SEU-ALLEN_local_17300_24200_13054_4017_CCFv3.swc,0,0,0,1,0,0,0,0,1,1
SEU-ALLEN_local_17300_24216_44769_4042_CCFv3.swc,0,0,0,0,1,1,2,0,0,0
SEU-ALLEN_local_17300_24220_14350_5536_CCFv3.swc,0,0,1,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_24250_14882_2919_CCFv3.swc,1,0,1,1,0,1,0,0,0,0
SEU-ALLEN_local_17300_24288_41742_3163_CCFv3.swc,1,3,20,19,11,12,2,2,0,0
SEU-ALLEN_local_17300_24307_41722_3100_CCFv3.swc,0,0,4,7,9,12,0,0,0,0
SEU-ALLEN_local_17300_24344_14830_5333_CCFv3.swc,0,0,0,0,0,1,0,0,0,0
SEU-ALLEN_local_17300_24430_14784_5591_CCFv3.swc,0,0,4,1,3,1,0,0,0,0
SEU-ALLEN_local_17300_24445_41111_3118_CCFv3.swc,0,1,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_24464_15560_2656_CCFv3.swc,0,0,1,5,4,3,0,1,1,0
SEU-ALLEN_local_17300_24472_41316_3114_CCFv3.swc,0,0,0,0,0,0,0,1,0,0
SEU-ALLEN_local_17300_24509_14012_3590_CCFv3.swc,0,0,0,0,1,0,0,0,1,0
SEU-ALLEN_local_17300_24514_15030_5291_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_17300_24530_14541_5315_CCFv3.swc,0,0,0,0,0,1,0,0,0,0
SEU-ALLEN_local_17300_24534_41604_3210_CCFv3.swc,0,2,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24548_14329_3618_CCFv3.swc,0,1,2,7,3,4,3,1,0,0
SEU-ALLEN_local_17300_24554_15036_5348_CCFv3.swc,0,0,2,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24580_44172_4724_CCFv3.swc,0,0,0,0,0,2,0,0,0,0
SEU-ALLEN_local_17300_24584_13472_5680_CCFv3.swc,0,4,2,1,2,0,1,0,0,0
SEU-ALLEN_local_17300_24590_42264_3589_CCFv3.swc,0,0,2,3,11,0,0,0,0,0
SEU-ALLEN_local_17300_24612_42158_3573_CCFv3.swc,0,1,1,4,1,1,0,1,0,2
SEU-ALLEN_local_17300_24620_15140_3884_CCFv3.swc,0,2,4,3,3,0,0,0,0,0
SEU-ALLEN_local_17300_24660_13373_5372_CCFv3.swc,0,0,1,1,1,2,1,3,0,0
SEU-ALLEN_local_17300_24682_14886_3658_CCFv3.swc,2,3,8,7,5,3,1,1,2,3
SEU-ALLEN_local_17300_24693_44611_4433_CCFv3.swc,0,0,0,1,0,1,1,0,0,0
