,1,2,3,4,5,6,7,8,9,10
RSPd,0.026849212902538423,0.07287643502117572,0.12636177183496258,0.16567669072796526,0.17269530937857921,0.14201049463282103,0.10920810803611856,0.07740457608608795,0.04779852435873531,0.025264363529819138
RSPv,0.01573928276858687,0.05314819737837671,0.09095928508619454,0.13134019072547937,0.15542967764803717,0.1534528946238318,0.13143562163009614,0.10056372398655786,0.06945324908147754,0.04460031492198523
VISa,0.016201698145901923,0.05748570438398892,0.11683417085427136,0.16613238606827244,0.20538035002599206,0.15577889447236182,0.10925316236354186,0.0732542020447063,0.044403049731415706,0.022309824987003984
VISrl,0.01669417590190992,0.058099504833765594,0.11143598207969814,0.14817260080169767,0.17547748172600794,0.16250884225418527,0.11964159396368777,0.08252770572978069,0.06687102098561658,0.02372082056118839
TEa,0.03405162330066803,0.10948506667359828,0.18790777468742687,0.18749187699825842,0.1806815523381248,0.13893582178784017,0.08429726287333314,0.04130383925554313,0.020716903641704136,0.006602375815549373
PERI,0.06048330772454252,0.10504260371560273,0.15742422125995248,0.19052940354798154,0.17348791730688642,0.14478279089258275,0.07941053219723423,0.04937840480514037,0.026470177399078084,0.006774689202402569
ECT,0.03795553394386363,0.11348839722289761,0.1667071885890267,0.20722911094902344,0.2015560418186239,0.1268876462166032,0.06618580652132805,0.0404949077450901,0.0200178296458384,0.011913445173839049
MOB,0.0744653344660732,0.18908137258523255,0.23942673512355483,0.19776160750563293,0.12680530417759392,0.09079156355040077,0.041111070069811254,0.018099213238281682,0.008569423410778267,0.007239685295312673
AOB,0.06805074971164936,0.1707035755478662,0.27450980392156865,0.13494809688581313,0.11303344867358707,0.12110726643598616,0.021914648212226065,0.03690888119953864,0.05074971164936563,0.008073817762399077
AON,0.034978002290991864,0.11115796777657148,0.18253761742828692,0.2069369797788565,0.17815302988159223,0.12965039942814932,0.08158742406977058,0.040558930232419035,0.01934183333183791,0.007587788953590967
TT,0.02165798519580759,0.0837638921107573,0.1655454564625994,0.19504839832134802,0.17817752377738885,0.14850587317320063,0.08477614458339486,0.05928003542883655,0.03171724414264325,0.015605558953162235
DP,0.0326619488296135,0.09678824169842135,0.11682090364725096,0.1849755035383778,0.18018508437670117,0.17419706042460534,0.11540555253130104,0.04637996733805118,0.0351660315732172,0.01643984757757213
PIR,0.03452034041105949,0.10215423620075284,0.16573782783115484,0.19742140941309233,0.1783447860063537,0.1375402904779204,0.08383511242685876,0.05187326567367224,0.02621876280213027,0.013132570165335887
NLOT,0.07458656766790416,0.13128585892676342,0.15221059736753292,0.22375970300371245,0.16233547080661492,0.12116098548768141,0.0941613229834627,0.031049611879851502,0.008437394532568343,0.0010124873439082012
COAa,0.05786196159833939,0.17384535547483138,0.22249610793980285,0.2048521017125065,0.1633367929423975,0.1046964193046186,0.05345096004151532,0.0068759730150493,0.005708354955889985,0.0012973533990659058
COAp,0.02292084438406968,0.08001811242641825,0.14837095974297598,0.17381460637816154,0.1861483062725057,0.15667248851801535,0.1101192401405869,0.06882722038941715,0.03133018522112253,0.015158375919097824
