target_cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
SEU-ALLEN_local_15257_16077_10465_5693_CCFv3.swc,0,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16090_29212_5164_CCFv3.swc,9,4,7,11,20,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16316_27016_5247_CCFv3.swc,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16327_27667_5763_CCFv3.swc,12,19,24,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16329_13334_5269_CCFv3.swc,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16330_10908_4709_CCFv3.swc,0,0,14,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16338_29027_4552_CCFv3.swc,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16339_16126_4970_CCFv3.swc,8,31,34,65,65,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16516_27930_3760_CCFv3.swc,0,17,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16530_28911_5380_CCFv3.swc,0,3,0,14,2,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16645_26603_5101_CCFv3.swc,0,0,0,0,6,2,9,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16745_26653_5012_CCFv3.swc,0,18,44,20,19,64,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16771_27237_4926_CCFv3.swc,10,16,43,0,21,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16832_27844_4823_CCFv3.swc,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16834_26686_5319_CCFv3.swc,16,55,35,14,4,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_16998_26668_5225_CCFv3.swc,15,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
