,x_umap,y_umap,x_sp,y_sp,region,soma_x,soma_y,soma_z,label,color
SEU-ALLEN_local_17542_22101_40250_6893_CCFv3,12.796191,20.849525,-0.6024223237446181,-1.118740215769954,CA1,342.467,104.272,354.763,2,#fc8d62
SEU-ALLEN_local_17542_22146_22868_5719_CCFv3,15.623612,11.157488,-2.8724257300633274,-0.4022079000154517,CA1,282.075,74.915,266.564,2,#fc8d62
SEU-ALLEN_local_17542_22179_23432_6018_CCFv3,14.8028345,7.620224,-2.301661534800056,2.004704316706011,CA1,298.027,77.804,260.726,2,#fc8d62
SEU-ALLEN_local_17542_22187_32132_5916_CCFv3,8.747673,16.225492,-1.8810879441225352,3.3165671179292486,CA1,291.957,85.945,265.259,2,#fc8d62
SEU-ALLEN_local_17542_22260_22108_6136_CCFv3,15.893501,2.367038,-1.1213868782564576,-0.9937588397629746,CA1,304.351,76.84,272.637,2,#fc8d62
SEU-ALLEN_local_17542_22327_32343_5925_CCFv3,13.290367,17.888502,0.11342728917209131,-0.029264779156805216,CA1,292.575,84.28299999999999,267.356,2,#fc8d62
SEU-ALLEN_local_17542_22329_21626_6179_CCFv3,14.465534,4.489495,0.3163887342883045,-2.1408013434002844,CA1,306.719,75.941,277.094,1,#66c2a5
SEU-ALLEN_local_17542_22340_21302_6193_CCFv3,11.158616,1.8708665,0.8039771751653529,1.0756585519709114,CA1,307.487,75.63600000000001,280.121,1,#66c2a5
SEU-ALLEN_local_17542_22466_21437_6251_CCFv3,13.0398,15.916034,-0.19554224643739673,3.16084619654473,CA1,310.64799999999997,74.796,278.875,2,#fc8d62
SEU-ALLEN_local_17542_22468_21235_6228_CCFv3,5.6078434,5.9906836,1.3126061359552967,-2.161543078564512,CA1,309.471,74.278,280.802,1,#66c2a5
SEU-ALLEN_local_17542_22567_32656_5700_CCFv3,13.284117,17.120464,-0.5852149004857766,-1.3452100961750693,CA1,280.714,78.803,270.99,2,#fc8d62
SEU-ALLEN_local_17542_22598_38890_6847_CCFv3,6.6002784,20.248652,-2.7599212176079653,-0.051965744436407765,CA1,341.30699999999996,97.04700000000001,339.132,2,#fc8d62
